source_id,source_name,source_type,base_url,cities_supported,categories_supported,product_types_supported,current_or_historical,earliest_observed_date,expected_update_frequency,available_fields,demand_signals_available,access_method,authentication_required,cost_or_subscription,robots_or_terms_review_status,automation_permission_status,rate_limit_or_collection_limit,historical_depth,data_quality_rating,source_reliability,duplicate_risk,pilot_priority,manual_validation_required,known_limitations,last_reviewed_date,reviewer_notes,terms_url,privacy_url,robots_url,api_documentation_url,review_evidence_url,reviewed_by,reviewed_at,collection_decision,collection_decision_reason,permitted_use_scope,permitted_fields,prohibited_fields,re_review_date,written_permission_required,data_retention_limit,attribution_required
youtube_public_channels,YouTube public channels,social_platform,https://www.youtube.com,Bengaluru; Hyderabad,Cooking and Baking; Art and Painting; Pottery and Ceramics; Coffee Making,Other,current_and_limited_historical,unknown,manual_or_api_dependent,channel name; video title; publish date; views; public engagement where permitted,views; posting frequency; tutorial/event promotion signals,manual_or_api_candidate,possibly,unknown,not_reviewed,Unknown; legal/terms review required,platform_limits_apply,Unknown,unknown,Low,Medium,Optional,yes,Often indirect demand signal; may not map cleanly to paid workshops.,2026-08-05,Priority 3/conditional supporting signal only.,,https://policies.google.com/privacy,,,,,,pending_review,Platform terms/access review not completed.,,,,,,,
eventbrite,Eventbrite,event_ticketing,https://www.eventbrite.com,Bengaluru; Hyderabad,Cooking and Baking; Art and Painting; Pottery and Ceramics; Coffee Making,Individual one-time workshop; Professional course; Free promotional event; Other,current_and_limited_historical,unknown,unknown,event title; city; venue; date/time; price; organizer; availability/status; registration link,listing count; availability/status; price; event frequency,public_page_or_api_candidate,possibly,unknown,not_reviewed,Unknown; legal/terms review required,unknown,Unknown,unknown,Medium,Medium,Optional,yes,India workshop coverage may be limited; terms/access must be reviewed.,2026-08-05,Priority 3/conditional depending on observed pilot coverage.,,https://www.eventbrite.com/support/articles/en_US/Troubleshooting/eventbrite-privacy-policy,,,,,,pending_review,Terms/access review not completed.,,,,,,,
meetup,Meetup,event_community_platform,https://www.meetup.com,Bengaluru; Hyderabad,Cooking and Baking; Art and Painting; Pottery and Ceramics; Coffee Making,Individual one-time workshop; Free promotional event; Other,current_and_limited_historical,unknown,unknown,event title; group; city; venue/online; date/time; RSVP/status where public,listing count; RSVP/attendance where public; event frequency,public_page_or_api_candidate,possibly,unknown,not_reviewed,Unknown; legal/terms review required,unknown,Unknown,unknown,Medium,Medium,Optional,yes,May skew toward community events and may not represent paid workshop market.,2026-08-05,Priority 3/conditional depending on observed paid-workshop coverage.,,https://www.meetup.com/privacy/,,,,,,pending_review,Terms/access review not completed.,,,,,,,
google_trends_api_alpha,Google Trends API alpha,search_interest,TBD,Bengaluru; Hyderabad,Cooking and Baking; Art and Painting; Pottery and Ceramics; Coffee Making,Other,historical,unknown,unknown,keyword; region; time period; relative interest index,search-interest index; search trend,api_candidate,possibly,unknown,not_reviewed,Unknown; legal/terms review required,unknown,Unknown,unknown,Medium,Low,Optional,yes,"Candidate only; availability, terms, stability, and access not reviewed.",2026-08-05,Priority 3/conditional; use only if legitimately accessible and stable.,,https://policies.google.com/privacy,,,,,,pending_review,API availability and terms not reviewed.,,,,,,,
mud_effects,Mud Effects Pottery Studio,first_party_organizer,https://mudeffects.com,Bengaluru,Pottery and Ceramics,Individual one-time workshop; Recurring class; Class pack; Private group event,current,2026-08-05,source_specific,workshop/course title; organizer; city; locality; format; schedule where public; price where public; registration/contact link,published status or availability where visible; price where visible,manual_first_party_public_page_review,no,free_public_pages_reviewed_only,reviewed,Automated collection prohibited or unsuitable,manual_review_only; no automated requests approved,Current only,medium,High,Low,Essential,yes,"No official API, export, feed, or written automation permission identified during Day 4 review; dedicated terms/privacy pages were not identified in initial public review.",2026-08-05,Selected Day 5 candidate for Bengaluru pottery/ceramics manual factual-field transcription only.,https://mudeffects.com,https://mudeffects.com,https://mudeffects.com/robots.txt,,https://mudeffects.com; https://mudeffects.com/pages/about-us,Codex,2026-08-05T12:00:00-04:00,approved_manual_collection,"Official first-party public source reviewed for limited manual transcription of factual workshop fields only; approved_manual_collection is an internal project-governance decision and does not imply source-owner license or endorsement; no automated collection, bulk extraction, long descriptions, images, reviews, personal data, or protected creative content approved.",limited_manual_collection_of_factual_workshop_fields_for_internal_research_only,event_title_original; organizer_name_original; venue_name_original; city_original; locality_original; category_original; description_short_original; city_code; primary_category_code; subcategory_code; secondary_category_codes; product_type_code; delivery_format_code; operating_model_code; audience_codes; minimum_age; maximum_age; skill_level_code; event_start_at; event_end_at; duration_minutes; recurrence_text_original; recurrence_type; registration_deadline; listed_price_inr; discounted_price_inr; tax_included; additional_fee_inr; pricing_unit_code; price_tier_code; materials_included; take_home_product; certificate_included; event_status_code; seats_total; seats_available; interested_count; sold_out_observed; waitlist_available; booking_required; demand_signal_notes,full source descriptions; images; image URLs; customer names; customer contact details; reviews or testimonials; cookies; authorization headers; credentials; payment data; personal data,2026-11-05,no_for_limited_manual_scope; yes_for_automation_or_reuse_beyond_scope,retain manually transcribed factual fields and source/evidence URLs only; do not store protected page payloads,retain source URL and observation date
kalasaara,Kalasaara Art Studio,first_party_organizer,https://kalasaara.in,Bengaluru,Art and Painting,Individual one-time workshop; Recurring class; Birthday party; Private group event,current,2026-08-05,source_specific,workshop/class title; organizer; city; locality; category; schedule where public; price where public; registration/contact link,published status or availability where visible; price where visible,manual_first_party_public_page_review,no,free_public_pages_reviewed_only,reviewed,Automated collection prohibited or unsuitable,manual_review_only; no automated requests approved,Current only,medium,High,Low,Essential,yes,"No official API, export, feed, or written automation permission identified during Day 4 review; dedicated terms/privacy pages were not identified in initial public review.",2026-08-05,Selected Day 5 candidate for Bengaluru art/painting manual factual-field transcription only.,https://kalasaara.in,https://kalasaara.in,https://kalasaara.in/robots.txt,,https://kalasaara.in; https://kalasaara.in/classes,Codex,2026-08-05T12:00:00-04:00,approved_manual_collection,"Official first-party public source reviewed for limited manual transcription of factual workshop fields only; approved_manual_collection is an internal project-governance decision and does not imply source-owner license or endorsement; no automated collection, bulk extraction, long descriptions, images, reviews, personal data, or protected creative content approved.",limited_manual_collection_of_factual_workshop_fields_for_internal_research_only,event_title_original; organizer_name_original; venue_name_original; city_original; locality_original; category_original; description_short_original; city_code; primary_category_code; subcategory_code; secondary_category_codes; product_type_code; delivery_format_code; operating_model_code; audience_codes; minimum_age; maximum_age; skill_level_code; event_start_at; event_end_at; duration_minutes; recurrence_text_original; recurrence_type; registration_deadline; listed_price_inr; discounted_price_inr; tax_included; additional_fee_inr; pricing_unit_code; price_tier_code; materials_included; take_home_product; certificate_included; event_status_code; seats_total; seats_available; interested_count; sold_out_observed; waitlist_available; booking_required; demand_signal_notes,full source descriptions; images; image URLs; customer names; customer contact details; reviews or testimonials; cookies; authorization headers; credentials; payment data; personal data,2026-11-05,no_for_limited_manual_scope; yes_for_automation_or_reuse_beyond_scope,retain manually transcribed factual fields and source/evidence URLs only; do not store protected page payloads,retain source URL and observation date
baking_hub,Baking Hub Academy,first_party_organizer,https://www.bakinghub.in,Bengaluru,Cooking and Baking,Individual one-time workshop; Recurring class; Professional course; Certification course; Other,current,2026-08-05,source_specific,course/workshop title; organizer; city; locality; category; schedule where public; price where public; registration/contact link; seat/status where explicitly public,published seat/status where visible; price where visible,manual_first_party_public_page_review,no_for_public_pages_reviewed,free_public_pages_reviewed_only,reviewed,Automated collection prohibited or unsuitable,manual_review_only; no automated requests approved,Current only,medium,High,Low,Essential,yes,"Terms restrict reproduction, sharing, and external use of academy materials; no official API, export, feed, or written automation permission identified. Manual scope excludes course materials, recipes, images, and long descriptions.",2026-08-05,Added as a Bengaluru cooking/baking first-party source to keep all four pilot categories represented in Bengaluru without changing Lavonne's pending status.,https://www.bakinghub.in/terms-and-conditions,https://www.bakinghub.in/copy-of-terms-and-conditions,https://www.bakinghub.in/robots.txt,,https://www.bakinghub.in; https://www.bakinghub.in/terms-and-conditions; https://www.bakinghub.in/copy-of-terms-and-conditions,Codex,2026-08-05T12:00:00-04:00,approved_manual_collection,"Official first-party public source reviewed for limited manual transcription of factual workshop fields only; approved_manual_collection is an internal project-governance decision and does not imply source-owner license or endorsement; no automated collection, bulk extraction, long descriptions, images, reviews, personal data, or protected creative content approved.",limited_manual_collection_of_factual_workshop_fields_for_internal_research_only,event_title_original; organizer_name_original; venue_name_original; city_original; locality_original; category_original; description_short_original; city_code; primary_category_code; subcategory_code; secondary_category_codes; product_type_code; delivery_format_code; operating_model_code; audience_codes; minimum_age; maximum_age; skill_level_code; event_start_at; event_end_at; duration_minutes; recurrence_text_original; recurrence_type; registration_deadline; listed_price_inr; discounted_price_inr; tax_included; additional_fee_inr; pricing_unit_code; price_tier_code; materials_included; take_home_product; certificate_included; event_status_code; seats_total; seats_available; interested_count; sold_out_observed; waitlist_available; booking_required; demand_signal_notes,full source descriptions; images; image URLs; customer names; customer contact details; reviews or testimonials; cookies; authorization headers; credentials; payment data; personal data,2026-11-05,no_for_limited_manual_scope; yes_for_automation_or_reuse_beyond_scope,retain manually transcribed factual fields and source/evidence URLs only; do not store protected page payloads,retain source URL and observation date
lavonne,Lavonne Academy of Baking Science and Pastry Arts,first_party_organizer,https://www.lavonne.in,Bengaluru,Cooking and Baking,Professional course; Certification course; Other,current,2026-08-05,source_specific,course/program title; organizer; city; locality; format; schedule where public; price where public; registration/contact link,program availability where public; price where public,manual_first_party_public_page_review,no_for_public_pages_reviewed,free_public_pages_reviewed_only,reviewed,Automated collection prohibited or unsuitable,manual_review_only_pending_permission; no automated requests approved,Current only,medium,High,Low,Supporting,yes,Terms include no-copy/no-reproduction/no-exploitation language and prohibit spidering/crawling/scraping; not approved for Day 5 manual event transcription without a permission basis.,2026-08-05,"Registered and reviewed as a Bengaluru cooking/baking source, but excluded from Day 5 manual selection pending permission review.",https://www.lavonne.in/policies/terms-of-service,https://www.lavonne.in/policies/privacy-policy,https://www.lavonne.in/robots.txt,,https://www.lavonne.in; https://www.lavonne.in/policies/terms-of-service,Codex,2026-08-05T12:00:00-04:00,pending_review,Terms include restrictions on copying/reproduction/exploitation and spidering/crawling/scraping; manual factual transcription requires further permission/legal review.,manual_feasibility_observation_only_pending_permission_basis,source identity; public URL structure observations; high-level field availability notes,full source descriptions; images; image URLs; customer names; customer contact details; reviews or testimonials; cookies; authorization headers; credentials; payment data; personal data; automated extraction; bulk extraction; copied course descriptions,2026-11-05,yes_for_manual_transcription_beyond_feasibility_observation_and_for_automation,review notes only until permission basis is confirmed,unknown; retain source URL for any review notes
scai,Specialty Coffee Academy of India,first_party_organizer,https://www.scai.coffee,Bengaluru; Hyderabad,Coffee Making,Professional course; Certification course; Individual one-time workshop; Other,current,2026-08-05,source_specific,course/program title; organizer; city/location; schedule where public; price where public; registration/contact link; certification/training indicator,published status or availability where visible; price where visible,manual_first_party_public_page_review,no,free_public_pages_reviewed_only,reviewed,Automated collection prohibited or unsuitable,manual_review_only; no automated requests approved,Current only,medium,High,Low,Essential,yes,"No official API, export, feed, or written automation permission identified during Day 4 review; manual collection limited to factual fields visible on official public pages.",2026-08-05,Selected Day 5 candidate for coffee-making coverage in both Bengaluru and Hyderabad using one concrete source row with city/location coverage.,https://www.scai.coffee,https://www.scai.coffee,https://www.scai.coffee/robots.txt,,https://www.scai.coffee; https://www.scai.coffee/about-us,Codex,2026-08-05T12:00:00-04:00,approved_manual_collection,"Official first-party public source reviewed for limited manual transcription of factual workshop fields only; approved_manual_collection is an internal project-governance decision and does not imply source-owner license or endorsement; no automated collection, bulk extraction, long descriptions, images, reviews, personal data, or protected creative content approved.",limited_manual_collection_of_factual_workshop_fields_for_internal_research_only,event_title_original; organizer_name_original; venue_name_original; city_original; locality_original; category_original; description_short_original; city_code; primary_category_code; subcategory_code; secondary_category_codes; product_type_code; delivery_format_code; operating_model_code; audience_codes; minimum_age; maximum_age; skill_level_code; event_start_at; event_end_at; duration_minutes; recurrence_text_original; recurrence_type; registration_deadline; listed_price_inr; discounted_price_inr; tax_included; additional_fee_inr; pricing_unit_code; price_tier_code; materials_included; take_home_product; certificate_included; event_status_code; seats_total; seats_available; interested_count; sold_out_observed; waitlist_available; booking_required; demand_signal_notes,full source descriptions; images; image URLs; customer names; customer contact details; reviews or testimonials; cookies; authorization headers; credentials; payment data; personal data,2026-11-05,no_for_limited_manual_scope; yes_for_automation_or_reuse_beyond_scope,retain manually transcribed factual fields and source/evidence URLs only; do not store protected page payloads,retain source URL and observation date
tworks,T-Works,government_or_industry_body,https://tworks.telangana.gov.in,Hyderabad,Pottery and Ceramics,Individual one-time workshop; Recurring class; Professional course; Other,current,2026-08-05,source_specific,program/workshop title; organizer; city; locality; category; schedule where public; price where public; registration/contact link,published status or availability where visible; price where visible,manual_first_party_public_page_review,no,free_public_pages_reviewed_only,reviewed,Automated collection prohibited or unsuitable,manual_review_only; no automated requests approved,Current only,medium,High,Low,Essential,yes,"Government/public innovation-center source; no API, export, feed, or automation permission identified for this pilot review.",2026-08-05,Selected Day 5 candidate for Hyderabad pottery/ceramics manual factual-field transcription only.,https://tworks.telangana.gov.in/ceramic-trainings,https://tworks.telangana.gov.in,https://tworks.telangana.gov.in/robots.txt,,https://tworks.telangana.gov.in/ceramic-trainings; https://tworks.telangana.gov.in/ceramics,Codex,2026-08-05T12:00:00-04:00,approved_manual_collection,"Official first-party public source reviewed for limited manual transcription of factual workshop fields only; approved_manual_collection is an internal project-governance decision and does not imply source-owner license or endorsement; no automated collection, bulk extraction, long descriptions, images, reviews, personal data, or protected creative content approved.",limited_manual_collection_of_factual_workshop_fields_for_internal_research_only,event_title_original; organizer_name_original; venue_name_original; city_original; locality_original; category_original; description_short_original; city_code; primary_category_code; subcategory_code; secondary_category_codes; product_type_code; delivery_format_code; operating_model_code; audience_codes; minimum_age; maximum_age; skill_level_code; event_start_at; event_end_at; duration_minutes; recurrence_text_original; recurrence_type; registration_deadline; listed_price_inr; discounted_price_inr; tax_included; additional_fee_inr; pricing_unit_code; price_tier_code; materials_included; take_home_product; certificate_included; event_status_code; seats_total; seats_available; interested_count; sold_out_observed; waitlist_available; booking_required; demand_signal_notes,full source descriptions; images; image URLs; customer names; customer contact details; reviews or testimonials; cookies; authorization headers; credentials; payment data; personal data,2026-11-05,no_for_limited_manual_scope; yes_for_automation_or_reuse_beyond_scope,retain manually transcribed factual fields and source/evidence URLs only; do not store protected page payloads,retain source URL and observation date
crust_and_crumble,Crust & Crumble,first_party_organizer,https://cncbakers.com,Hyderabad,Cooking and Baking,Individual one-time workshop; Recurring class; Professional course; Other,current,2026-08-05,source_specific,workshop/class title; organizer; city; locality; category; schedule where public; price where public; registration/contact link,published status or availability where visible; price where visible,manual_first_party_public_page_review,no,free_public_pages_reviewed_only,reviewed,Automated collection prohibited or unsuitable,manual_review_only; no automated requests approved,Current only,medium,High,Low,Essential,yes,"No official API, export, feed, or written automation permission identified during Day 4 review; dedicated terms/privacy pages were not identified in initial public review.",2026-08-05,Selected Day 5 candidate for Hyderabad cooking/baking manual factual-field transcription only.,https://cncbakers.com,https://cncbakers.com,https://cncbakers.com/robots.txt,,https://cncbakers.com; https://cncbakers.com/workshops,Codex,2026-08-05T12:00:00-04:00,approved_manual_collection,"Official first-party public source reviewed for limited manual transcription of factual workshop fields only; approved_manual_collection is an internal project-governance decision and does not imply source-owner license or endorsement; no automated collection, bulk extraction, long descriptions, images, reviews, personal data, or protected creative content approved.",limited_manual_collection_of_factual_workshop_fields_for_internal_research_only,event_title_original; organizer_name_original; venue_name_original; city_original; locality_original; category_original; description_short_original; city_code; primary_category_code; subcategory_code; secondary_category_codes; product_type_code; delivery_format_code; operating_model_code; audience_codes; minimum_age; maximum_age; skill_level_code; event_start_at; event_end_at; duration_minutes; recurrence_text_original; recurrence_type; registration_deadline; listed_price_inr; discounted_price_inr; tax_included; additional_fee_inr; pricing_unit_code; price_tier_code; materials_included; take_home_product; certificate_included; event_status_code; seats_total; seats_available; interested_count; sold_out_observed; waitlist_available; booking_required; demand_signal_notes,full source descriptions; images; image URLs; customer names; customer contact details; reviews or testimonials; cookies; authorization headers; credentials; payment data; personal data,2026-11-05,no_for_limited_manual_scope; yes_for_automation_or_reuse_beyond_scope,retain manually transcribed factual fields and source/evidence URLs only; do not store protected page payloads,retain source URL and observation date
escapades,Escapades Baking Academy,first_party_organizer,https://www.escapadesbaking.com,Hyderabad,Cooking and Baking,Individual one-time workshop; Professional course; Certification course; Other,current,2026-08-05,source_specific,workshop/course title; organizer; city; locality; category; schedule where public; price where public; registration/contact link; seat/status where public,published seat/status where visible; price where visible,manual_first_party_public_page_review,no,free_public_pages_reviewed_only,reviewed,Automated collection prohibited or unsuitable,manual_review_only; no automated requests approved,Current only,medium,High,Low,Essential,yes,"No official API, export, feed, or written automation permission identified during Day 4 review; manual collection limited to factual fields visible on official public pages.",2026-08-05,Selected Day 5 candidate for Hyderabad baking coverage and potential seat/status observations where publicly displayed.,https://www.escapadesbaking.com/terms-and-conditions,https://www.escapadesbaking.com/privacy-policy,https://www.escapadesbaking.com/robots.txt,,https://www.escapadesbaking.com; https://www.escapadesbaking.com/terms-and-conditions; https://www.escapadesbaking.com/privacy-policy,Codex,2026-08-05T12:00:00-04:00,approved_manual_collection,"Official first-party public source reviewed for limited manual transcription of factual workshop fields only; approved_manual_collection is an internal project-governance decision and does not imply source-owner license or endorsement; no automated collection, bulk extraction, long descriptions, images, reviews, personal data, or protected creative content approved.",limited_manual_collection_of_factual_workshop_fields_for_internal_research_only,event_title_original; organizer_name_original; venue_name_original; city_original; locality_original; category_original; description_short_original; city_code; primary_category_code; subcategory_code; secondary_category_codes; product_type_code; delivery_format_code; operating_model_code; audience_codes; minimum_age; maximum_age; skill_level_code; event_start_at; event_end_at; duration_minutes; recurrence_text_original; recurrence_type; registration_deadline; listed_price_inr; discounted_price_inr; tax_included; additional_fee_inr; pricing_unit_code; price_tier_code; materials_included; take_home_product; certificate_included; event_status_code; seats_total; seats_available; interested_count; sold_out_observed; waitlist_available; booking_required; demand_signal_notes,full source descriptions; images; image URLs; customer names; customer contact details; reviews or testimonials; cookies; authorization headers; credentials; payment data; personal data,2026-11-05,no_for_limited_manual_scope; yes_for_automation_or_reuse_beyond_scope,retain manually transcribed factual fields and source/evidence URLs only; do not store protected page payloads,retain source URL and observation date
